label,score,text,stars,source,direction
5 stars,0.6611796617507935,"Chief Justice Roberts, Vice President Harris, Speaker Pelosi, Leader Schumer, Leader McConnell, Vice President Pence, and my distinguished guests, and my fellow Americans: This is America's day",5.0,Biden,0.0
5 stars,0.7768719792366028," This is democracy's day, a day of history and hope, of renewal and resolve",5.0,Biden,2.0
5 stars,0.6284918785095215," Through a crucible for the ages America has been tested anew, and America has risen to the challenge",5.0,Biden,4.0
5 stars,0.5226709842681885,"  Today we celebrate the triumph not of a candidate, but of a cause, the cause of democracy",5.0,Biden,7.0
5 stars,0.4212803244590759," The peopleâ€”the will of the people has been heard, and the will of the people has been heeded",5.0,Biden,9.0
5 stars,0.39437010884284973," We've learned again that democracy is precious, democracy is fragile",5.0,Biden,11.0
5 stars,0.6642636060714722," And at this hour, my friends, democracy has prevailed",5.0,Biden,14.0
5 stars,0.5369763970375061,"  So now, on this hallowed ground where just a few days ago violence sought to shake the Capitol's very foundation, we come together as one Nation under God, indivisible, to carry out the peaceful transfer of power as we have for more than two centuries",5.0,Biden,16.0
5 stars,0.8130298852920532," As we look ahead in our uniquely American wayâ€”restless, bold, optimisticâ€”and set our sights on the Nation we know we can be and we must be, I thank my predecessors of both parties for their presence here today",5.0,Biden,18.0
5 stars,0.6186325550079346, I thank them from the bottom of my heart,5.0,Biden,20.0
5 stars,0.6804044842720032," And I know the resilience of our Constitution and the strength, the strength of our Nation, as does President Carter, who I spoke with last night, who cannot be with us today, but whom we salute for his lifetime of service",5.0,Biden,22.0
5 stars,0.6930508613586426,"  I have just taken the sacred oath each of these patriots have taken, the oath first sworn by George Washington",5.0,Biden,25.0
3 stars,0.4524676501750946," But the American story depends not on any one of us, not on some of us, but on all of us, on ""We the People,"" who seek a more perfect Union",3.0,Biden,27.0
5 stars,0.7826593518257141,  This is a great Nation; we are good people,5.0,Biden,29.0
5 stars,0.698701798915863," Over the centuries, through storm and strife, in peace and in war, we've come so far",5.0,Biden,31.0
3 stars,0.41172727942466736, But we still have far to go,3.0,Biden,34.0
5 stars,0.5485427975654602," We'll press forward with speed and urgency, for we have much to do in this winter of peril and significant possibilities: much to repair, much to restore, much to heal, much to build, and much to gain",5.0,Biden,36.0
3 stars,0.37911227345466614,  Few people in our Nation's history have been more challenged or found a time more challenging or difficult than the time we're in now,3.0,Biden,38.0
5 stars,0.40854090452194214, A once-in-a-century virus that silently stalks the country has taken as many lives in one year as America lost in all of World War II,5.0,Biden,40.0
1 star,0.7519882321357727, Millions of jobs have been lost; hundreds of thousands of businesses closed,1.0,Biden,43.0
5 stars,0.4935910701751709, A cry for racial justice some 400 years in the making moves us,5.0,Biden,45.0
5 stars,0.4891492426395416, The dream of justice for all will be deferred no longer,5.0,Biden,47.0
5 stars,0.4473990201950073," A cry for survival comes from the planet itself, a cry that can't be any more desperate or any more clear",5.0,Biden,50.0
5 stars,0.6947301626205444," And now, a rise of political extremism, White supremacy, domestic terrorism that we must confront and we will defeat",5.0,Biden,52.0
5 stars,0.5676702857017517,  To overcome these challengesâ€”to restore the soul and secure the future of Americaâ€”requires so much more than words,5.0,Biden,54.0
5 stars,0.2531818747520447, It requires the most elusive of all things in a democracy: unity,5.0,Biden,56.0
